               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.035141,            0.041836,                   0,              0.9342,             0.92608,             0.96175,             0.71973,            0.038142,            0.098161,                   0,            0.009505,            0.009505,            0.009505
                 100,            0.037411,            0.045717,                   0,             0.91142,             0.92395,             0.94495,             0.70964,            0.040206,             0.10189,                   0,            0.009505,            0.009505,            0.009505
                 101,            0.036596,            0.043361,                   0,             0.90635,             0.91009,             0.93444,             0.68917,            0.039528,             0.10506,                   0,            0.009505,            0.009505,            0.009505
                 102,            0.034497,            0.042974,                   0,             0.92984,             0.92466,             0.95797,              0.7454,            0.036776,            0.098713,                   0,            0.009505,            0.009505,            0.009505
                 103,            0.033024,            0.041846,                   0,             0.93291,             0.91578,             0.94791,             0.70594,            0.038534,             0.10103,                   0,            0.009505,            0.009505,            0.009505
                 104,            0.035393,            0.041103,                   0,             0.92487,             0.90654,             0.95258,             0.69664,            0.040843,             0.10629,                   0,            0.009505,            0.009505,            0.009505
                 105,            0.035228,            0.042652,                   0,             0.94024,             0.92253,             0.95683,             0.73086,            0.038892,             0.10016,                   0,            0.009505,            0.009505,            0.009505
                 106,             0.03238,            0.039224,                   0,             0.93489,             0.93923,             0.96566,             0.73754,            0.037151,            0.098738,                   0,            0.009505,            0.009505,            0.009505
                 107,            0.033666,            0.043086,                   0,             0.93445,             0.93715,             0.96627,              0.7472,            0.037088,            0.099605,                   0,            0.009505,            0.009505,            0.009505
                 108,            0.033865,            0.040507,                   0,             0.94135,             0.94112,             0.96862,             0.72724,            0.037342,            0.095962,                   0,            0.009505,            0.009505,            0.009505
                 109,            0.035131,            0.043642,                   0,             0.94999,             0.92999,             0.96245,             0.73619,             0.03858,            0.097697,                   0,            0.009505,            0.009505,            0.009505
                 110,            0.034139,            0.038718,                   0,             0.94229,             0.92928,             0.96039,             0.72101,            0.038987,            0.098273,                   0,            0.009505,            0.009505,            0.009505
                 111,            0.034589,            0.042871,                   0,             0.93337,             0.91592,             0.95401,             0.71558,            0.038534,             0.10195,                   0,            0.009505,            0.009505,            0.009505
                 112,             0.03443,            0.042298,                   0,             0.93771,             0.92573,              0.9619,             0.72958,            0.038054,             0.10031,                   0,            0.009505,            0.009505,            0.009505
                 113,            0.034566,            0.040126,                   0,               0.933,             0.90938,              0.9475,             0.69652,            0.040777,             0.10195,                   0,            0.009505,            0.009505,            0.009505
                 114,            0.034233,            0.040709,                   0,             0.92024,             0.88966,             0.92999,             0.67866,            0.042535,             0.10328,                   0,            0.009505,            0.009505,            0.009505
                 115,            0.035271,            0.041156,                   0,              0.9397,             0.93588,             0.95478,             0.71845,            0.037533,             0.09777,                   0,            0.009505,            0.009505,            0.009505
                 116,            0.032626,             0.03872,                   0,             0.94773,             0.92131,             0.96262,              0.7368,            0.036202,            0.097133,                   0,            0.009505,            0.009505,            0.009505
                 117,            0.035342,            0.039534,                   0,             0.93418,             0.90334,             0.95207,             0.71962,            0.037602,             0.10373,                   0,            0.009505,            0.009505,            0.009505
                 118,            0.033851,            0.039685,                   0,             0.92585,             0.91862,             0.95279,             0.70571,            0.039579,             0.10491,                   0,            0.009505,            0.009505,            0.009505
                 119,            0.031854,            0.040718,                   0,             0.92731,             0.91568,             0.95475,             0.72805,            0.037983,             0.10306,                   0,            0.009505,            0.009505,            0.009505
                 120,            0.033694,            0.040595,                   0,             0.93295,             0.92253,             0.95801,             0.72108,            0.037572,             0.10084,                   0,            0.009505,            0.009505,            0.009505
                 121,            0.032612,            0.038328,                   0,              0.9352,             0.93849,             0.95943,             0.71787,            0.038896,             0.10109,                   0,            0.009505,            0.009505,            0.009505
                 122,            0.032052,            0.039437,                   0,              0.9223,             0.93568,             0.94988,              0.7154,            0.037063,             0.10207,                   0,            0.009505,            0.009505,            0.009505
                 123,            0.035542,            0.044644,                   0,             0.93771,             0.93089,             0.95819,             0.75215,            0.036274,            0.097872,                   0,            0.009505,            0.009505,            0.009505
                 124,            0.033954,            0.042166,                   0,             0.94129,             0.93817,             0.96583,              0.7465,            0.035781,            0.094514,                   0,            0.009505,            0.009505,            0.009505
                 125,            0.032182,            0.040595,                   0,             0.92488,             0.93923,             0.96226,             0.72275,            0.036957,            0.098661,                   0,            0.009505,            0.009505,            0.009505
                 126,            0.033654,            0.041099,                   0,             0.93263,             0.92983,             0.95378,             0.72349,            0.038627,            0.099401,                   0,            0.009505,            0.009505,            0.009505
                 127,            0.034705,            0.043973,                   0,             0.94271,             0.91471,             0.95978,             0.73092,            0.038279,             0.09873,                   0,            0.009505,            0.009505,            0.009505
                 128,            0.032515,            0.040663,                   0,              0.9393,             0.90654,             0.95349,             0.70969,            0.038231,             0.10095,                   0,            0.009505,            0.009505,            0.009505
                 129,            0.033734,             0.03945,                   0,             0.92731,             0.88735,             0.94355,             0.70614,            0.038459,             0.10621,                   0,            0.009505,            0.009505,            0.009505
                 130,            0.032872,            0.039977,                   0,             0.93738,             0.90618,             0.95845,             0.73152,            0.037403,            0.099265,                   0,            0.009505,            0.009505,            0.009505
                 131,            0.035822,            0.041239,                   0,              0.9385,             0.92185,              0.9645,             0.70642,            0.037526,            0.097676,                   0,            0.009505,            0.009505,            0.009505
                 132,            0.034304,            0.039527,                   0,             0.93936,             0.89732,             0.95146,              0.7105,            0.038271,             0.10384,                   0,            0.009505,            0.009505,            0.009505
                 133,            0.033016,            0.039249,                   0,             0.93788,             0.92826,              0.9553,             0.71097,            0.037081,            0.098408,                   0,            0.009505,            0.009505,            0.009505
                 134,             0.03525,            0.042472,                   0,             0.94601,             0.92431,             0.95814,             0.72368,            0.038729,             0.10015,                   0,            0.009505,            0.009505,            0.009505
                 135,             0.03396,            0.040994,                   0,             0.94843,              0.9204,             0.95588,             0.74506,            0.036379,            0.097434,                   0,            0.009505,            0.009505,            0.009505
                 136,            0.034523,            0.042448,                   0,             0.92161,              0.9233,             0.95506,             0.72397,            0.037693,            0.098728,                   0,            0.009505,            0.009505,            0.009505
                 137,            0.032479,            0.039309,                   0,             0.92444,             0.91732,             0.94388,             0.73047,            0.037262,             0.10099,                   0,            0.009505,            0.009505,            0.009505
                 138,            0.033971,            0.040223,                   0,             0.93339,             0.91933,             0.95204,             0.71222,            0.037879,             0.10088,                   0,            0.009505,            0.009505,            0.009505
                 139,            0.032569,            0.036953,                   0,             0.94274,              0.9339,             0.95839,              0.7488,            0.036256,            0.095431,                   0,            0.009505,            0.009505,            0.009505
                 140,             0.03338,            0.035504,                   0,             0.93977,             0.93497,             0.95511,             0.73704,            0.036643,            0.094324,                   0,            0.009505,            0.009505,            0.009505
                 141,            0.034025,            0.037008,                   0,             0.93244,             0.93532,             0.95775,             0.74674,            0.035979,            0.096076,                   0,            0.009505,            0.009505,            0.009505
                 142,            0.031578,            0.037558,                   0,             0.93083,             0.92182,             0.95295,             0.72661,            0.037217,            0.099598,                   0,            0.009505,            0.009505,            0.009505
                 143,            0.034623,            0.043616,                   0,             0.93979,             0.91527,             0.95167,             0.73543,            0.037021,            0.098137,                   0,            0.009505,            0.009505,            0.009505
                 144,            0.033022,            0.043678,                   0,             0.94065,             0.91813,              0.9535,             0.72837,            0.037455,            0.098218,                   0,            0.009505,            0.009505,            0.009505
                 145,            0.034169,            0.042546,                   0,              0.9358,             0.92203,             0.95062,             0.73303,            0.036876,            0.097766,                   0,            0.009505,            0.009505,            0.009505
                 146,            0.031497,            0.039071,                   0,             0.94364,             0.92502,             0.95583,             0.73745,            0.036865,            0.098823,                   0,            0.009505,            0.009505,            0.009505
                 147,            0.032015,            0.040508,                   0,             0.95256,             0.93476,             0.96647,              0.7509,            0.035537,            0.094669,                   0,            0.009505,            0.009505,            0.009505
                 148,            0.032396,            0.038107,                   0,             0.95279,             0.92537,             0.96624,             0.72078,            0.037346,            0.097235,                   0,            0.009505,            0.009505,            0.009505
                 149,            0.032299,            0.040789,                   0,             0.94382,             0.93852,             0.96547,             0.71391,            0.038235,            0.094737,                   0,            0.009505,            0.009505,            0.009505
                 150,            0.033105,            0.040357,                   0,             0.95081,             0.92431,             0.96734,             0.72804,            0.036327,            0.094481,                   0,            0.009505,            0.009505,            0.009505
                 151,             0.03093,             0.03899,                   0,             0.94421,              0.9202,             0.96571,             0.73161,            0.038229,            0.099972,                   0,            0.009505,            0.009505,            0.009505
                 152,            0.033249,            0.043229,                   0,             0.92008,             0.92289,             0.96113,             0.72198,            0.036276,              0.1029,                   0,            0.009505,            0.009505,            0.009505
                 153,            0.031686,            0.042089,                   0,             0.93487,              0.9335,             0.96668,             0.74712,            0.035764,             0.09802,                   0,            0.009505,            0.009505,            0.009505
                 154,             0.03046,            0.040414,                   0,             0.94418,             0.91371,             0.96283,             0.74973,            0.036236,            0.098984,                   0,            0.009505,            0.009505,            0.009505
                 155,            0.035023,             0.04169,                   0,             0.92898,             0.92431,             0.96096,             0.74793,            0.036021,            0.098193,                   0,            0.009505,            0.009505,            0.009505
                 156,            0.032384,            0.041964,                   0,             0.91387,             0.88913,             0.94554,             0.70805,            0.038699,              0.1062,                   0,            0.009505,            0.009505,            0.009505
                 157,            0.032582,            0.040901,                   0,             0.93242,             0.90709,             0.95537,             0.72289,            0.037513,             0.10073,                   0,            0.009505,            0.009505,            0.009505
                 158,            0.032685,            0.042388,                   0,             0.93729,             0.91187,             0.95831,             0.72702,            0.037126,            0.098245,                   0,            0.009505,            0.009505,            0.009505
                 159,            0.031552,            0.039473,                   0,             0.94466,             0.91592,             0.96265,              0.7366,            0.036911,            0.098488,                   0,            0.009505,            0.009505,            0.009505
                 160,            0.035065,            0.038229,                   0,             0.94051,             0.91791,             0.96229,             0.74404,            0.036119,            0.099245,                   0,            0.009505,            0.009505,            0.009505
                 161,            0.031826,            0.041024,                   0,              0.9379,             0.89232,              0.9478,             0.72215,            0.037551,             0.10289,                   0,            0.009505,            0.009505,            0.009505
                 162,            0.030302,             0.03523,                   0,             0.93188,             0.87846,             0.93663,             0.71135,            0.038791,             0.10698,                   0,            0.009505,            0.009505,            0.009505
                 163,            0.031678,            0.036953,                   0,             0.93593,             0.92396,             0.95941,             0.75642,            0.035394,            0.097048,                   0,            0.009505,            0.009505,            0.009505
                 164,            0.033187,            0.040902,                   0,              0.9451,             0.92985,              0.9639,             0.75491,            0.035504,            0.096602,                   0,            0.009505,            0.009505,            0.009505
                 165,            0.030812,            0.037052,                   0,             0.94459,             0.92999,             0.96272,             0.75588,            0.035479,            0.096049,                   0,            0.009505,            0.009505,            0.009505
                 166,            0.031406,            0.039789,                   0,             0.94373,             0.92822,             0.96186,             0.74588,            0.035972,             0.09407,                   0,            0.009505,            0.009505,            0.009505
                 167,            0.030997,             0.03837,                   0,             0.94191,             0.91612,              0.9535,             0.74599,            0.035714,            0.096082,                   0,            0.009505,            0.009505,            0.009505
                 168,            0.031304,            0.040227,                   0,             0.94334,             0.91705,             0.96239,             0.75314,            0.035403,            0.096863,                   0,            0.009505,            0.009505,            0.009505
                 169,            0.033775,            0.040497,                   0,             0.93929,             0.91222,             0.96032,             0.73513,            0.036877,            0.099801,                   0,            0.009505,            0.009505,            0.009505
                 170,            0.029317,            0.036666,                   0,              0.9324,             0.93319,             0.95881,             0.76141,            0.034741,            0.096389,                   0,            0.009505,            0.009505,            0.009505
                 171,            0.029981,             0.03719,                   0,             0.91366,             0.93888,             0.95625,             0.74092,             0.03588,            0.098593,                   0,            0.009505,            0.009505,            0.009505
                 172,            0.032421,            0.039875,                   0,             0.93229,             0.92217,             0.95715,             0.76622,            0.034474,            0.096012,                   0,            0.009505,            0.009505,            0.009505
                 173,            0.031306,            0.037356,                   0,             0.93303,             0.90903,             0.95481,             0.72695,            0.036206,            0.099043,                   0,            0.009505,            0.009505,            0.009505
                 174,             0.02961,            0.039948,                   0,             0.94076,             0.88877,             0.95046,             0.73941,            0.036043,             0.10341,                   0,            0.009505,            0.009505,            0.009505
                 175,            0.029405,            0.036089,                   0,             0.94262,             0.90654,             0.95475,             0.75153,            0.035163,             0.10097,                   0,            0.009505,            0.009505,            0.009505
                 176,            0.029667,            0.036025,                   0,             0.94704,             0.91187,             0.95628,              0.7606,            0.034399,            0.098473,                   0,            0.009505,            0.009505,            0.009505
                 177,            0.030328,            0.037191,                   0,             0.94322,             0.88913,             0.94572,             0.73725,            0.036094,             0.10273,                   0,            0.009505,            0.009505,            0.009505
                 178,            0.030636,            0.036793,                   0,             0.94181,             0.91542,             0.95568,             0.75446,             0.03505,            0.097443,                   0,            0.009505,            0.009505,            0.009505
                 179,              0.0322,             0.03723,                   0,             0.94257,             0.92679,             0.96243,             0.76011,            0.035268,            0.095167,                   0,            0.009505,            0.009505,            0.009505
                 180,            0.030042,            0.037422,                   0,             0.94184,             0.91827,             0.95629,             0.75063,            0.036037,            0.096315,                   0,            0.009505,            0.009505,            0.009505
                 181,            0.030295,            0.037523,                   0,             0.94606,             0.92241,             0.96004,             0.74291,            0.036614,            0.097553,                   0,            0.009505,            0.009505,            0.009505
                 182,            0.030054,            0.033959,                   0,             0.94563,             0.93331,             0.96869,             0.75321,            0.035803,            0.093316,                   0,            0.009505,            0.009505,            0.009505
                 183,            0.031101,            0.041129,                   0,             0.94365,             0.92928,             0.96199,             0.76115,            0.035368,            0.094706,                   0,            0.009505,            0.009505,            0.009505
                 184,            0.029173,            0.036963,                   0,             0.93834,             0.91932,             0.95762,             0.75589,            0.035416,            0.095296,                   0,            0.009505,            0.009505,            0.009505
                 185,            0.028926,            0.034111,                   0,             0.94629,              0.9076,             0.95493,             0.75773,            0.035828,            0.094816,                   0,            0.009505,            0.009505,            0.009505
                 186,            0.030761,            0.037687,                   0,             0.94244,             0.91258,             0.95793,             0.75861,             0.03523,            0.097371,                   0,            0.009505,            0.009505,            0.009505
                 187,            0.031159,            0.040856,                   0,             0.93754,             0.91754,             0.95414,             0.74517,            0.035479,            0.095833,                   0,            0.009505,            0.009505,            0.009505
                 188,             0.03006,            0.036595,                   0,             0.94481,              0.9307,             0.96242,             0.72313,            0.036413,            0.095219,                   0,            0.009505,            0.009505,            0.009505
                 189,            0.032152,            0.040639,                   0,             0.93678,             0.93724,             0.96439,             0.73933,            0.035891,            0.093979,                   0,            0.009505,            0.009505,            0.009505
                 190,            0.030475,            0.036759,                   0,             0.94539,             0.89815,             0.94783,             0.74621,            0.036546,            0.096761,                   0,            0.009505,            0.009505,            0.009505
                 191,            0.029197,              0.0379,                   0,              0.9439,               0.914,             0.95128,             0.74948,            0.036046,            0.094017,                   0,            0.009505,            0.009505,            0.009505
                 192,            0.030349,            0.037872,                   0,             0.94596,             0.92683,             0.95228,             0.74927,            0.035904,            0.093703,                   0,            0.009505,            0.009505,            0.009505
                 193,            0.032615,            0.042981,                   0,             0.94414,             0.92679,             0.95099,             0.74536,            0.036188,            0.097329,                   0,            0.009505,            0.009505,            0.009505
                 194,            0.031832,            0.036913,                   0,              0.9536,             0.89834,             0.94935,             0.74476,            0.035963,            0.099016,                   0,            0.009505,            0.009505,            0.009505
                 195,            0.030073,            0.038885,                   0,             0.93983,             0.92137,              0.9572,             0.75629,            0.034847,            0.096899,                   0,            0.009505,            0.009505,            0.009505
                 196,             0.03052,            0.033912,                   0,             0.92981,             0.93673,             0.95957,             0.76066,             0.03468,            0.097026,                   0,            0.009505,            0.009505,            0.009505
                 197,            0.029497,              0.0346,                   0,             0.94301,              0.9403,             0.96375,             0.76266,            0.034895,            0.095255,                   0,            0.009505,            0.009505,            0.009505
                 198,            0.029816,            0.036442,                   0,             0.94532,             0.93994,              0.9615,             0.76131,            0.034701,            0.094367,                   0,            0.009505,            0.009505,            0.009505
                 199,            0.029574,            0.039061,                   0,              0.9339,             0.95131,             0.95749,             0.76515,            0.033998,            0.093781,                   0,            0.009505,            0.009505,            0.009505
